speaker,title,content,sentiment,symbol,quarter
Paul Hudson,CEO,"Welcome to the Q1 2024 conference call. You can find the slides of this call on the sanofi.com Investors Page. I'd like to remind you that the information presented in this call contains forward-looking statements, which are subject to substantial risks and uncertainties that may cause actual results to differ materially. I encourage you to read the disclaimer in our presentation. In addition, I refer you to our Form 20-F on file with the SEC for a description of these risk factors. I'm pleased to welcome our new CFO, François, to the presentation, who will be followed by Houman, our Head of R&D on the pipeline. For Q&A, we have Brian, Olivier, Thomas, and Julie to cover the global business units and Roy, our GC. For the Q&A, you have two options to participate. In Zoom, you can raise your hand to submit your questions in Q&A, which have been explained on the slide. Let's turn to the business. We had an excellent start in 2024 with 7% sales growth, in line with our fast-moving portfolio transformation. Growth was driven by launches, including new and existing indications for Dupixent, and this performance fully underpins our 2024 EPS guidance as CEO. Dupixent continues to increase penetration in all approved indications, and we saw performance diversified further across all geographies, plus, of course, the usual US insurance plans. Pharma launches were led by Nexviazyme and Altuviiio, with more details to come a little later. Launches also boosted the performance in Vaccines with Beyfortus making further progress, including in countries in the southern hemisphere. In Consumer Health, growth of 9% reflected the consolidation of the Qunol acquisition as well, of course, as organic growth. We're progressing the plan to separate this business as discussed in the past. Overall, we're pleased with the ongoing portfolio transformation, which is becoming more visible, also in our cost lines, with more resources going into the pipeline and less into SG&A. This is exactly the development we set out last year when we announced the next chapter of our strategy. Before moving on, I'd like to extend my thanks to all the Sanofi colleagues for their dedicated work and their commitment to patients and science to improve people's lives. Dupixent continues to perform strong demand-driven growth, with sales of more than €2.8 billion in the first quarter. Sales of this unique medicine increased by 25% globally, fueled by accelerated growth from indication expansions in the ex-U.S. markets, where sales grew as much as 51%. With now more than 850,000 patients worldwide, the strong contribution from countries like Japan, China, and Germany highlights the tremendous growth potential for Dupixent across all indications and geographies. In the U.S., sales exceeded €2 billion in the quarter, up 17%. U.S. growth reflects the customary dynamics of the annual reset of insurance plans. Almost eight years into its initial U.S. launch in atopic dermatitis, this effect underscores the large size and rapid growth of Dupixent, with leadership positions in new prescriptions across all five approved indications. As we look ahead to Q2, we remain very excited about the outlook for Dupixent's outstanding commercial success across all geographies, supported by regulatory progress towards launching multiple new indications in major markets. With our strong Q1 performance, we're extremely confident in delivering our previously communicated objective of around €13 billion in sales for the full year. As one of the leading medicines in immunology, respiratory is a core disease area for Dupixent, well ahead of any other competing biological medicine. Dupixent has established and maintained a distinct leadership position in new prescriptions among pulmonologists across asthma and chronic rhinosinusitis with nasal polyps in the U.S. We believe in the growing importance of pulmonologists in adopting biologics to treat respiratory diseases, but we are also confident that their growing familiarity with Dupixent in type 2 inflammation will play a key role in the adoption of Dupixent as the potentially first advanced therapy in COPD in more than a decade if approved. We also continue to build a growing body of scientific evidence around Dupixent in addressing airway inflammation in the VESTIGE study, which was recently presented at the Quadruple AI Congress. Dupixent demonstrated reduced airway inflammation of mucus plugging in functional respiratory imaging in-house. We have an ambition to potentially introduce a new standard-of-care with Dupixent in COPD for patients with type 2 inflammation. As you may recall, significant regulatory progress has been achieved with Dupixent's potential in COPD across key markets. We are preparing for a potential launch in the U.S. as early as late June if approved by the FDA and plan for additional potential approvals in Europe and China by the end of the year. We're excited about the outlook for Dupixent's potential to become a breakthrough medicine for COPD, a leading cause of death worldwide. Dupixent is well-positioned to potentially address the high unmet need in COPD with a strong clinical profile across two large Phase 3 studies and more than seven years of real-world data on safety across five approved indications. Dupixent addresses the unmet medical need of a well-defined population of roughly 300,000 patients in the U.S. alone, whose disease is driven by type 2 inflammation and is uncontrolled despite standard-of-care therapies. COPD is a historically difficult disease area and a heterogeneous disease, with multiple development failures in the last decade. Over time, many patients become resigned to their medical condition with an experienced team that has a track record of development and commercial excellence in respiratory. We planned a targeted approach to drive the awareness and identification of COPD with type 2 inflammation among patients and pulmonologists. As we've seen with our launches across other major indications, the adoption of Dupixent as the first and only biologic in the COPD indication will require some time initially, and the inflection of sales growth is most likely to come in 2025 after the U.S. launch. We are confident that if approved, COPD will become the next major growth pillar for Dupixent. Together with our second potential blockbuster developed for COPD, itepekimab, we continue to expect peak sales of more than €5 billion for both products combined. Let's now move to the new launches, as Q1 further demonstrates our ability to execute successful launches and bring new medicines to patients. This quarter, all our new launches, including Beyfortus, made up close to €1 billion in sales or 9% of our total biopharma business. Beyfortus continued its global rollout in the quarter with the launch in the Southern Hemisphere countries of all interim protection programs in some Australian states and Chile. As RSV is seasonal, Beyfortus will have a sales pattern similar to that of flu vaccines. Nexviazyme grew strongly from new patients as well as patients converting from older medicines in the Pompe franchise. We're pleased with the overall growth in franchise sustainability. ALTUVIIIO is soon annualizing its launch. It has seen continued strong uptake, with most of the growth coming from other factor medicines and even some uptake from patients not on factor medicines. This shows us how innovation can help to revitalize hemophilia and grow Sanofi's total share. Other launched medicines also did well, including Sarclisa approved in multiple myeloma. Taking a closer look at Beyfortus, we’re really focused on the impact of improving public health and benefit for thousands of families. We've now real-world results from last year's implementation of broad immunization programs in the U.S., France, and Spain with Beyfortus. The results are strikingly impressive, showing a dramatic reduction in hospitalizations. The U.S. CDC recently published our effectiveness data for Beyfortus at 90%, and in Europe, we've seen similar results for hospitalization reduction across France and Spain. Overall, following the first season in the three launch countries where Beyfortus is used for all-in-from protection, this means that nearly 40,000 hospitalizations have already been avoided for families. This is the impact that matters most. This also provides perspective for Beyfortus’ global health benefit as we plan to launch in additional countries in H2. Together with AZ, we're working with regulatory authorities and extending the manufacturing network to make Beyfortus more available for the upcoming season, as we're glad to see such enthusiastic demand. We're confident that we will meet anticipated customer demand and look forward to extending all-in-from protection programs in the upcoming Northern Hemisphere RSV season. On my final slide, I wanted to highlight some progress on our ESG ambition exemplified by the work of our Global Health unit. Since its launch in 2021, the essential medicines from our GHC portfolio have supported close to 550,000 patients suffering from noncommunicable diseases in 31 countries, aiming to reach two million NCD patients by 2030. An additional differentiator is the meaningful work done by our teams to help build sustainable healthcare systems through partnerships with Ministries of Health, training of healthcare professionals, and our impact investment fund focused on supporting exclusive start-ups and businesses. I now have great pleasure in handing over to François, our new CFO.",0.9,SNY,2024Q1
François-Xavier Roger,CFO,"Thank you, Paul. I'm pleased to have joined the team here at Sanofi earlier in April, and I'm looking forward to interacting with all of you in the future. Sales were up 7% in the quarter, and as Paul mentioned, growth was driven by our ongoing portfolio transformation towards biopharma medicines, with Dupixent sales up by 25% and the new launches, including Beyfortus, up by 150%. Excluding the impact of AUBAGIO's loss of exclusivity and COVID-19, growth was 12%. This analysis does not aim at removing all headwinds, but simply illustrates what the new Sanofi may look like in the future. The gross margin at 73.5% was down by 2.6 percentage points, mainly due to AUBAGIO and due to the absence of COVID-19 vaccine sales this year. In addition, the quarter was impacted by a one-off inventory adjustment to reflect declining standard costs. R&D expenses increased by 12% at constant exchange rates in line with our ambition to invest more in our pipeline. Resources are being deployed to advance late-stage immunology and neurology projects. SG&A increased by less than 3%, below half of sales growth, illustrating our strategic reallocation of resources. Our business operating margin decreased to 27.2%, mainly due to the gross margin decline, the step-up in R&D expenses, and an increase in profit sharing with Regeneron. As expected, EPS was down 7.4% in Q1, also partly impacted by a higher tax rate. Just one word on cash flow. It will be impacted in 2024 by our lower business operating income and by the phasing of rebate payments in the U.S. related to prior year sales. Let me now give you some additional information on our coming quarter. In Q2 2024, we expect Dupixent and the new pharma launches to grow further, while we continue to see the impact of the Aubagio loss of exclusivity in Europe. Notably, we don't expect any Beyfortus sales in Q2 due to early delivery in Q1 in some Southern Hemisphere countries, while shipments in Northern Hemisphere countries are not expected before the second half of 2024. For the full year 2024 sales outlook, we expect Dupixent to reach around €13 billion and the vaccine franchise to grow mid-single-digit, with Beyfortus anticipated to reach blockbuster status. The Aubagio loss of exclusivity will continue to impact the top line, mainly in H1. Finally, planned divestments will lower our sales by around €300 million over the year. For the full year P&L, we expect our gross margin to decrease slightly due to Aubagio and the absence of COVID-19 sales revenues this year. OpEx is expected to grow with about €700 million step-up in R&D, while SG&A expenses are expected to remain stable. Finally, our tax rate will increase to around 21% due to the implementation of the OECD Pillar 2. We confirm our full year 2024 expectation of a low single-digit decline in our business EPS at constant exchange rates. Excluding the impact of the higher tax rate, the full year 2024 business EPS is expected to be roughly stable. On foreign exchange, we foresee a negative currency impact to EPS of around 6% based on April 2024 average exchange rates. As a reminder, we continue to anticipate strong business EPS rebounds in 2025. As we have mentioned earlier, in 2024, we are transforming the company for long-term value creation. With that, I will now hand over to Houman.",-0.1,SNY,2024Q1
Houman Ashrafian,Head of R&D,"Thank you, François. We've seen substantial positive pipeline progress already in Q1, where we continue to deliver a consistent news flow of clinically important data and scientific publications and congresses. Frexalimab's encouraging Phase 2 data and multiple choices was recently published in the New England Journal, updated with data from the 48-week open-label extension, which we presented last week at the AAN Conference supporting our commitment to MS patients. In atopic dermatitis, we have the potential to further establish our leadership with amlitelimab, where we presented the Phase 2b data at AAD, showing largely sustained effects of amlitelimab on atopic dermatitis symptoms after 52 weeks of dosing. On the regulatory side, we've reached an impressive pace of approvals with two for Dupixent in multiple indications across different countries. FDA discussions regarding Dupixent's sBLA in COPD are ongoing under the priority review process, as Paul has mentioned. Amlitelimab, our non-depleting OX40 ligand monoclonal antibody, has shown potential best-in-class efficacy with a durable clinical response rate after 52 weeks from the STREAM AD Phase 2b study. The responder percentage is reflected in the IIGA 0/1 and the EG75 scores, which are both surrogate endpoints for AD, maintained and still significantly effective, even following withdrawal from the drug at week 24. The enrollment of all 4 Phase III studies is on track for the first regulatory submission expected in 2027. Frexelimab, our CD40 ligand antibody, shows high-efficacy non-lymphocyte depleting potential for MS with multiple indications under development. Most importantly, in relapsing remitting MS, the 48-week data from the Phase II open-label extension study demonstrated a sustained reduction of disease activity monitored by a mean number of gadolinium-positive type 1 lesions appearing on MRI. It is worthy to mention that nearly every patient on frexelimab IV exhibited no new lesions at a near-zero annualized relapse rate at 48 weeks. So, as you can see from the bar chart, patients switched from the placebo arm to the frexelimab arm, both IV and subcutaneous, showed impressive decreases in MS. The Phase III studies for relapsed remitting MS and NRPMS have initiated, with the first regulatory submission expected in 2027. We want to focus on rilzabrutinib, our oral BTK inhibitor, one of our 12 priority medicines. We've received a positive readout from the LUNA 3 Phase III study in ITP, a rare autoimmune bleeding disorder characterized by abnormally low levels of platelets, persistent disabling fatigue, and increased hemorrhage. These results confirmed the positive Phase II data, with additional details to be presented at forthcoming medical meetings and a regulatory submission later this year. Alongside this positive news, we've received more Phase II data in asthma, confirming previous positive trends. We are very excited to present this data at the ATS conference next month. In February, we shared positive data for the third indication, CSU, at the AAI AI Annual Meeting, with Phase III starting later this year. These datasets are important stepping stones in our R&D transformation journey, emphasizing our commitment to rare diseases and the significant potential of BTK inhibitors. Additionally, we recently reshaped our overall oncology strategy, focusing on areas where we can make a meaningful difference based on our expertise in immunology. Our goal is to target critical unmet medical needs for patients benefiting from immune mechanisms. I want to finish by highlighting the upcoming Phase III and Phase II readouts and regulatory submissions expected in 2024 and 2025. As you can see, news flow will increase and become busier as we move into 2025, supported by the step-up in R&D investments that François just mentioned. I'm enthusiastic and eager as the news flow becomes richer and better, thanks to the growing pipeline and clinical study efforts. With this, I will hand back to Paul.",0.7,SNY,2024Q1
Paul Hudson,CEO,"For sure, enthusiastic and eager, I can confirm that. We'll now open the floor for questions. As a reminder, we ask you to limit your questions to one or two. You have two options for Q&A. Click the Raise Hand icon, and you’ll be notified when your line is open. Please remember to unmute or submit your question through the Q&A function, and your question will be read out by us. Over to you.",0.9,SNY,2024Q1
Operator,Operator,Yes. The first question will be from Peter Welford from Jefferies. Peter?,0.0,SNY,2024Q1
Peter Welford,Analyst,"Hi. I hope you can hear me? Thanks very much for the question. Can we just start off with Dupixent and just thinking about the momentum we've seen, but all the more important new indications COPD? I guess, I just wanted if you can sort of square up some of the very positive commentary. I guess, we heard on the potential for this indication, obviously, significant unmet medical need and that there also is some perhaps word of caution that we shouldn't get ahead of ourselves. I guess, certainly challenging, we've done a lot, doctors seem to think that COPD patients already know whether they have type 2 inflammation in many cases or not. So if you could talk about, from your point of view, what the challenges are here and why we shouldn't expect, at least initially, a potential bolus of patients given they currently have no other options available and potential challenges? And then if I could just ask a second question, just quickly to François, you mentioned on the gross margin just concerning a one-time adjustment. I would maybe just go into that in a little bit more detail? And if that is very much a one-time for the first quarter? And then perhaps you could possibly quantify that would help? Thank you.",0.2,SNY,2024Q1
Paul Hudson,CEO,"Hi, Peter, thank you. Brian, Dupixent, COPD.",0.1,SNY,2024Q1
Brian Foard,"SVP, U.S. Commercial Operations","Yeah. Thank you so much for the question. Really, as we get ready for the launch in COPD, first and foremost, it all starts with the patients. And I think what we've seen with this brand is that by going into diseases driven by underlying type 2 inflammation, we've really opened up new treatment opportunities for these patients and transformed a lot of patients' lives. As Paul mentioned, there are over 850,000 patients already on therapy. Many of those happen to be asthma sufferers and are treated by the pulmonologist community. So as you can imagine, as we've spoken with pulmonologists, they're extremely excited about having potentially a new option to treat these patients, who are currently on the highest dose of therapy and still exacerbating. So we must contextualize this properly. And you saw our reductions in both the BOREAS and areata trials, showing how effective they were at adding reduction in exacerbation rates of 30% and 34%. So we're very positive about this. The challenge with this particular patient population is probably less about the patients themselves and more about the fact that when you bring a new therapy like this after more than 10 years, it will take a little bit of time for the biologic ramp. Even though there's a burden of disease there for the patients, it will take some time for physicians to use biologics. That said, the pulmonologist community does use biologics today. So we feel like we're well-prepared and are creating a good marketplace for it.",0.7,SNY,2024Q1
Paul Hudson,CEO,"Thank you, Brian. Houman, anything to add?",0.0,SNY,2024Q1
Houman Ashrafian,Head of R&D,"Yeah. Hi, Peter. You asked a very specific question about the patient burden of disease and patient population. I just want to be clear about how we develop this molecule, both in BOREAS and areata. We were very specific about our stratification strategy; we thought very deeply about the EOs concentration in the blood and specifically the phenotype. We focused specifically on what we saw in the Phase II data, and that reflected an outstanding reduction in the exacerbations in our Phase III studies. I think it's really important to recognize that as Sanofi goes forward, our development strategy is laser-focused to enable launch in the highest unmet medical need population. And that's what we've done. So that's why we have confidence in the way this population launch will expand.",0.8,SNY,2024Q1
