speaker,title,content,sentiment,symbol,quarter
Operator,Operator,"Good morning, and welcome to Verizon’s First Quarter 2025 Earnings Conference Call. At this time, all participants are in a listen-only mode and there will be a question session after the presentation. Today’s conference is being recorded. I would now like to turn the call over to Mr. Brady Connor, Senior Vice President of Investor Relations.",0.0,VZ,2025Q1
Brady Connor,"Senior Vice President, Investor Relations","Thanks, Brad. Good morning and welcome to our first quarter 2025 earnings call and customer value update. I'm Brady Connor and on the call with me this morning are Hans Vestberg, our Chairman and Chief Executive Officer; Tony Skiadas, our Chief Financial Officer; and we have our Consumer Group CEO, Sampath, who will provide an update on our consumer strategy. Before we begin, I'd like to draw your attention to our safe harbor statement which can be found at the start of the investor presentation posted on our investor relations website. Information in this presentation contains statements about expected future events and financial results that are forward-looking and subject to risks and uncertainties. Discussions of factors that may affect future results is contained in Verizon's filings with the SEC, which are available on our investor relations website. This presentation contains certain non-GAAP financial measures. Reconciliation of these non-GAAP measures to the most directly comparable GAAP measures are included in the financial materials posted on our website. Discussions and comments related to our 2025 guidance exclude any assumptions regarding the potential effects of the tariff environment, owing to the uncertain and evolving nature of these impacts. Earlier this morning, a detailed overview of our first quarter results was posted to our investor relations website. We also posted supplemental materials relating to today's call on our website. With that, I'll turn it over to Hans.",0.0,VZ,2025Q1
Hans Vestberg,Chairman and CEO,"Thank you, Brady. Good morning, everyone. Let me start by addressing the evolving policy and macroeconomic landscape. We continue to monitor the ongoing developments, and we're confident in our ability to effectively manage our business for our customers and shareholders. In periods of heightened uncertainty, our business has demonstrated remarkable strength, given the importance and the essential nature of our connectivity services, the size and quality of our customer base, and the strength of our balance sheet. Our diverse portfolio of offerings serves all market segments and positions us for success in any economic environment. With our bias for action and position of strength, we expect that we will not only weather the current environment but thrive in it. Now, let me turn to our results. We had an exceptional financial start to the year, delivering strong growth across our key financial metrics. Wireless service revenue was up 2.7%, at the high end of our guided range. Adjusted EBITDA of $12.6 billion was our highest reported result ever, growing 4% and exceeding our guided range. Free cash flow was up over $900 million and enabled continued execution of our capital allocation priorities. Even with the recent declines in consumer confidence, we remain confident in our ability to deliver on our 2025 financial guidance. Our comprehensive portfolio of offerings and strategic moves we’ve made over the last year position us well for a sustainable financial and subscriber growth while also improving the customer experience. These moves include our brand refresh along with continued evolution of our customer-first offerings such as myPlan, myHome, and My Biz Plan, organic and inorganic broadband expansion with the pending acquisition of Frontier, AI Connect and satellite partnerships that enable texting anywhere for free. RootMetrics recently recognized Verizon as the best, fastest, and most reliable 5G network in the US. Our network continues to get even better. On mobility, we're on track to deploy C-Band to 80% to 90% of our planned sites by year end and we are aggressively rolling out 5G advanced features. On Fios expansion, we are ahead of our plan year-to-date to deliver 650,000 incremental passings this year. On fixed wireless access, our multi-dwelling unit solution is expected to gradually ramp over time, along with continued expansion of homes and businesses covered with the ongoing C-Band deployment. Turning to our operational performance, our segmentation strategy focused on delivering targeted offerings is yielding positive results. We delivered a year-over-year improvement in combined postpaid and prepaid phone net adds. We did have a slow start on postpaid phone net adds, largely driven by elevated churn due to recent price increases and pressure from federal government accounts. However, our prepaid net adds of 137,000 were the best since the TracFone acquisition. In broadband, we continue to take share. With fixed wireless access and fiber, we have the most complete offering covering all market segments and we will cover more than 100 million premises over time. Our fixed wireless access product continues to lead our broadened growth and we have great momentum to reach our next milestone of 8 million to 9 million fixed wireless access subscribers by 2028. We're excited to expand our broadened opportunity and continue to scale our mobile and home offerings as we work towards closing the Frontier transaction. The consumer group's multi-year business transformation effort is progressing as planned, and you will hear more about that from Sampath shortly. In the business group, our private networks business continues to scale. We closed more than a dozen deals in the quarter, including private networks for AdventHealth and Nucor. We were named a leader in the Gartner Magic Quadrant for Managed IoT Connectivity Services worldwide and reached an agreement to deliver a turnkey IoT solution for Atlanta Hawks. We have seen accelerated interest in AI Connect and continue to expand our partner ecosystem. Looking ahead, our priorities are clear: a continued focus on growing wireless service revenue, expanding adjusted EBITDA and generating strong free cash flow; accelerating our mobility and broadband growth; scaling private networks; leveraging our existing fiber and edge compute assets to unlock new revenue streams through our AI Connect offerings; focusing on financial discipline, operational excellence, and customer experience; and finally, executing on our capital allocation priorities, investing in the business, supporting and growing our dividend, paying down debt, and eventually engaging in share repurchases. With that, I turn the call over to Tony.",0.8,VZ,2025Q1
Tony Skiadas,Chief Financial Officer,"Thanks, Hans, and good morning, everyone. As we reported earlier, the first quarter demonstrated our ability to drive strong financial growth with wireless service revenue growth at the upper end of our guided range. Additionally, we had our best-ever reported adjusted EBITDA result at $12.6 billion, and we delivered an over $900 million improvement in free cash flow from the prior year. We improved our total combined postpaid and core prepaid phone net adds year-over-year. We're taking share in broadband and we continue to innovate with myPlan, myHome, and our new My Biz Plan to deliver best-in-class value across all of our customers. Our consumer postpaid phone net losses of 356,000 reflect the impact of recent pricing actions. We exited the first quarter with positive momentum. Consumer postpaid phone gross adds in March were up mid-single-digits from the prior year, and the performance in April continues to be strong. Additionally, our new three-year price lock and free phone guarantee is resonating in the market. We remain confident in our ability to deliver better consumer postpaid phone net adds year-over-year for the full year. Business phone net adds were $67,000 in the period, impacted by pressure within federal government accounts. We continue to work with customers of all sizes to deliver connectivity solutions that match their needs. Our momentum continued to build in core prepaid where we delivered 137,000 net adds. Our strong execution and investment in Visible, Total Wireless, and Straight Talk is paying off and we continue to expect positive service revenue contribution from core prepaid in the second half of the year. In broadband, our Fios and fixed wireless access offerings are attracting new customers quarter after quarter. We had 339,000 net adds in the period, and we continue to take market share. This is a solid start to the year, and one we expect to build on as we expand our C-Band and Fios availability. Shifting to financials, we delivered strong results with 2.7% wireless service revenue growth. This reflects the benefits of pricing actions, expansion of fixed wireless access subscribers, and continued adoption of perks and premium plans. Adjusted EBITDA of $12.6 billion grew 4% in the quarter, which represents our best quarter of year-over-year growth in nearly four years and demonstrates our sustained and disciplined approach to growth. Adjusted EPS was $1.19 for the quarter, up 3.5% year-over-year. Finally, our free cash flow of $3.6 billion positions us to continue to pay down debt in alignment with our capital allocation priorities and ahead of the anticipated close of the Frontier transaction. In closing, we are pleased with the financial performance we saw in the quarter. As Hans mentioned, we have a lot of experience managing through uncertainty in the broader economy, and we have a product portfolio that allows us to compete effectively in any environment. We remain confident in our ability to deliver on our operational and financial goals for 2025. I will now turn the call back over to Hans.",0.7,VZ,2025Q1
Hans Vestberg,Chairman and CEO,"Thank you, Tony. Now, let's discuss our strategic approach to the consumer market to drive sustainable subscriber and financial growth. It all starts with how we compete and go to market. Our network is the foundation of everything we offer. We have the best and most reliable network, and we continue to extend our network leadership with our ongoing C-Band deployment and broadband expansion with fixed wireless access and fiber, including the pending acquisition of Frontier. Our customer-first connectivity offerings deliver unmatched control, value, and simplicity for all our customer segments. Over the last two years, we have introduced targeted offers for all customer segments across mobility and broadband. As the market leader, we remain committed to introducing new and innovative offerings that meet the evolving needs of our customers. Next is the value-added services, which is one of our key differentiators in the market. We offer add-on perks, including exclusive discounts on some of the top streaming services such as Netflix and Max. Given the size and the quality of our base and the scale of our distribution network, we offer rates that customers cannot find anywhere else and we will continue to expand our product portfolio. Over the past few years, we have dedicated substantial resources to capital to enhance our customer experience through various initiatives, including AI for customer care and personalization. Although the industry, including Verizon, still has room to improve, we have made great progress towards our goal of seamless customer interactions. Lastly, our brand is a pivotal element in our go-to-market strategy. Recognizing its importance, we made a strategic decision to refresh our brand last year. We are committed to further developing and strengthening our brand to drive continued growth and customer engagement. By focusing on these key pillars of our value proposition, we attract new customers, foster loyalty among existing ones, and maximize the long-term value of each customer relationship. This holistic approach ensures that we remain competitive in the marketplace and drive sustainable subscriber and financial growth. Now, let me turn to Sampath, who will provide more details on our consumer transformation journey.",0.8,VZ,2025Q1
Sowmyanarayan Sampath,Consumer Group CEO,"Good morning, everyone. When I stepped into the role of consumer unit CEO just over two years ago, Hans and I immediately set a course for a multi-year transformation that offers what customers need in today's increasingly dynamic economic environment. We committed to delivering real value to our customers while driving sustained long-term growth. Let me walk you through our transformation journey and the results so far. Beginning in 2023, we revamped our sales engine, moving to a regional model, individual sales incentives, and a stronger focus on local marketing. We also launched myPlan, giving customers more control, value, and simplicity. This allowed us to significantly reduce our perceived price premium while driving higher average revenue per user through perks, insurance, and financial services. In 2024, we relaunched our brand and accelerated myPlan and myHome adoption. We solidified the Verizon model of convergence with the announcement of the Frontier transaction and ramping up our current in-footprint fiber build. This transaction will help enable a long-term goal of offering broadband to over 100 million premises, including fiber passings of 35 to 40 million. We also turned around our prepaid business, which includes the industry's largest portfolio of brands. This was driven by a revamp of our value propositions, expanded exclusive and third-party distribution, and instilling the same operational rigor we introduced in our postpaid business. The core prepaid brands returned to subscriber growth in 2024 and achieved their best results since the TracFone acquisition this quarter. This demonstrates our ability to win across all market segments. Customers are responding to our offers, and we anticipate gaining market share in prepaid this year. As we enter year three, we are doubling down on our customer-first strategy with an increased focus on customer retention with the Verizon Value Guarantee, an industry-leading three-year price lock, free phone guarantee for everyone, and savings you cannot get elsewhere. Before I dive into the Verizon Value Guarantee, let us quickly recap what makes our offering stand out from the competition. Our strategic differentiation centers on creating real customer value through a unique combination of network superiority and customer-first offerings. Our myPlan and myHome offerings have been the key drivers of our transformation. These offerings go beyond basic connectivity to include premium entertainment and adjacent services that deliver significant savings for the customer. Today, you can get eight of the most popular streaming services from Verizon for $50. That is value customers can only get at Verizon. Our portfolio of adjacent services includes industry-leading insurance products for both mobility and the connected home, giving customers even more peace of mind. We offer even more ways to save through our financial service partners and products, including the Verizon Visa card and the open bank high-yield savings account with Santander, both exclusive to Verizon customers. This business is growing at a double-digit rate and bringing in margin-rich service revenue. Finally, we launched the Verizon Access loyalty program, giving customers access to events like the exclusive presale of 100,000 Beyonce concert tickets, NFL, NBA, and NHL games, and lifetime experiences, such as the 140,000 free tickets we gave out to the first Verizon Super Bowl FanFest parties. There is no other plan in the industry like myPlan and myHome, and the beauty of having them build side by side is our ability to offer seamless account linkage and promote joint offers. For converged customers, our retention rates are significantly better than those with just mobility or broadband, validating our convergence strategy. Simply put, we offer the most differentiated value proposition in the industry. With our recently launched offers for both new and existing customers, we are delivering what people want and need on their terms. So now let's turn to what we announced a few weeks ago. We launched a game-changing offer, a three-year price lock and a free phone guarantee with trade-in for new and existing customers. This offer was contemplated in our 2025 guidance and is a key component of our strategy to deliver sustainable growth. The premise of this offer began several quarters ago as emerging consumer trends showed a growing desire for predictability, price control, and value, all things that are particularly relevant in today's economic environment. Customers want peace of mind, and we are giving them just that. The key elements of this offer include a three-year price lock guarantee that covers the network portion of all tiers of myPlan and myHome, and current customers were automatically enrolled on day one. Guaranteed trade-in credit for phones to new and existing customers within their planned tiers. Free satellite text messaging on all plans. Customers should not have to pay for texting, and it's part of the value we provide to our customers. Customers love our perks and the massive savings they deliver. We had over 10 million perks subscriptions at the end of the first quarter. We now anticipate 15 million subscriptions on our platform by the end of this year, an increase of 1 million perks from our prior forecast for year-end 2025. They love getting more value for their money with the Verizon Visa Card and Openbank high-yield savings account. Customers with both mobile and home services get a free monthly perk that will drive customer loyalty. We did not just launch an offer; we set a new standard for customer value, and customers are responding very well. Early indicators in April suggest strong gross add momentum and very good reception from customers, including many new customers attracted to Verizon. We expect the Verizon Value Guarantee to provide many benefits to Verizon. First, growth. We will continue to drive revenue through higher volumes, higher premium mix, perk adoption, and upgrading customers to myPlan. All of that is in addition to revenue benefits from a growing FWA base along with the wholesale business and the momentum with prepaid, which we expect to turn service revenue positive in the second half of the year. Second, better customer retention. In the past, we've made necessary price adjustments, which impacted churn, but we expect trends to improve through the year, and this launch puts us on a path to get back to the lowest churn in the industry over time. Third, we have constructed this offer in a flexible manner to give us continued financial discipline. The price lock applies to myPlan and myHome network plans only. It doesn't apply to perks, discounts, taxes, or fees, and we can still adjust prices on legacy plans or introduce new plans if we see an opportunity in the market. Another important note is that the free phone offer will be tiered by plan and require a device trade-in. Overall, we believe this is just the beginning of how we'll earn lasting customer loyalty and continue to grow the Verizon base, including delivering better consumer postpaid phone net adds in 2025 compared to 2024. We are back to leading the market, not reacting to it, and we are the only carrier with the brand portfolio covering every price point, positioning us for further growth across every segment of the market. The three-year price lock guarantee is the next phase in our consumer transformation, giving consumers the best network, value, and 24/7 support with myPlan and myHome, plus additional peace of mind with the free phone and satellite texting. We want to be people's first choice, providing products, services, and experiences they can't get elsewhere. With that, let me turn back to Hans.",0.9,VZ,2025Q1
Hans Vestberg,Chairman and CEO,"Thank you, Sampath. In summary, we are on plan with our multiyear consumer transformation. We're offering the most differentiated value proposition, and we are well positioned to drive subscriber and financial growth. I'm incredibly proud of the team's dedication and efforts in transforming the business. I'm confident that the actions we are taking will set the business up for sustainable long-term growth and extend our industry leadership. Now, Brady, we are ready for questions.",0.9,VZ,2025Q1
Brady Connor,"Senior Vice President, Investor Relations","Thanks, Hans. Brad, we're ready for the first question.",0.0,VZ,2025Q1
Operator,Operator,"The first question will come from John Hodulik of UBS. Sir, your line is open.",0.0,VZ,2025Q1
John Hodulik,Analyst,"Hey, thanks, and good morning, guys. Two questions, if I could. Maybe first for Hans on the subject of tariffs. Any additional color you can give us on how tariffs on, I guess, first handsets and then telecom equipment could affect the business? On the handset side, do you expect the promotions to sort of scale with tariffs and what do you expect the impact to be on upgrades? And then on the equipment side, is tariffs on equipment coming into the US mean the budget stays the same and maybe you do less homes passed? Or just how that unfolds? And then secondly, for Sampath, thanks for all the color on the consumer segment and the strategy and thanks for the color on the gross adds leaving the quarter. Can we talk a little bit about churn? I mean, is all the new plans and promotions and offers you have in place, does that help churn in the second quarter or do we have to wait until the second half of the year? And that comment on getting back to industry-leading churn, is that something you expect to achieve by the fourth quarter, by the end of this year, or just more color on how that plays out would be great? Thank you.",0.0,VZ,2025Q1
