speaker,title,content,sentiment,symbol,quarter
Operator,Operator,"Ladies and gentlemen, welcome to the Warner Bros. Discovery fourth quarter 2024 earnings conference call. At this time, all participant lines are in a listen-only mode. After the speakers’ presentation, there will be a question and answer session. Additionally, please be advised that today’s conference call is being recorded. I would now like to hand the conference over to Mr. Andrew Slabin, Executive Vice President, Global Investor Strategy. Sir, you may now begin.",0.0,WBD,2024Q4
Andrew Slabin,"Executive Vice President, Global Investor Strategy","Good morning and thank you for joining us for Warner Bros. Discovery’s Q4 earnings call. Joining me today is David Zaslav, President and Chief Executive Officer; Gunnar Wiedenfels, Chief Financial Officer; and JB Perrette, CEO and President, Global Streaming and Games. Earlier this morning, we released our Q4 earnings results, trending schedule, as well as accompanying shareholder letter. We will begin this morning with some very brief remarks by David and then turn the call right to Q&A. Today’s presentation will include forward-looking statements that we make pursuant to the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. The forward-looking statements may include comments regarding the company’s future business plans, prospects and financial performance, and involve risks and uncertainties that could cause actual results to differ materially from our expectations. For additional information on factors that could affect these expectations, please see the company’s filings with the U.S. Securities and Exchange Commission, including but not limited to the company’s most recent annual report on Form 10-K and its reports on Form 10-Q and Form 8-K. In addition, we will discuss non-GAAP financial measures on this call. Reconciliations of these non-GAAP financial measures to the closest GAAP financial measure can be found in our earnings release and in our trending schedules, which can be found in the Investor Relations section of our website. With that, I’m pleased to turn the call over to David.",0.0,WBD,2024Q4
David Zaslav,President and Chief Executive Officer,"Good morning everyone and thank you for joining us. Two and a half years ago when we brought Warner Bros. Discovery together, our vision was to combine Discovery’s leading position as a global force in media and entertainment with local content and local sports alongside the iconic storytelling brand’s IP and libraries of Warner Bros. and HBO. This powerful combination is a unique and compelling offering that we believe would resonate with consumers worldwide. It was the strategic guts of our transaction. Our direct-to-consumer business ended 2024 with about 117 million subscribers across more than 70 countries, and we still have nearly half the world to go with many key markets like the U.K., Italy, Germany, and Australia launching over the next few years. We added about 6.5 million subscribers in the fourth quarter and nearly 20 million subscribers in less than a year. Max continues to grow at a powerful pace, and we expect it to continue throughout 2025 and beyond. In this generational media disruption, only the global streamers will survive and prosper, and Max is just that. With the launch of Max internationally in 2024, we now have a global subscription business that is growing subscribers, revenue, and EBITDA. We have a clear demonstrable path to at least 150 million subscribers by the end of 2026, fueling further revenue and EBITDA growth. Max is one of the world’s very few global and profitable streaming services. Our direct-to-consumer business contributed almost $700 million in EBITDA, a $3 billion improvement in just two years, and we expect direct-to-consumer EBITDA to nearly double in 2025. As I mentioned in our last earnings call, we are laser-focused on getting our studios back to a place of industry leadership and generating $3 billion or more in EBITDA. We are showing growth and real strength in Warner Bros’ television business, which I believe is the highest quality and largest maker of TV content in the world. We are excited about our studio’s creative and financial outlook this year and beyond, particularly all of this coming from Warner Bros Pictures and DC Studios, kicking off with the release of Superman this July. Despite the headwinds facing linear television, we recently struck a flurry of multi-year renewal agreements with five of the six largest pay TV providers in America, many of which were a year early and all of which commanded overall rate increases. These long-term deals provide real security and stability to our linear business. Finally, we have been hard at work and have made real progress implementing the reorganization we announced in December, which went into effect on January 1. This new structure will provide investors with better visibility to the strength of our streaming and studios business and will give us real strategic value and optionality into the future. 2024 marked a year of significant progress in transforming Warner Bros. Discovery, laying the foundation for what’s next and positioning us as a global media leader committed to providing shareholders with sustainable future growth. We remain fully focused on enhancing shareholder value and welcome your questions.",0.9,WBD,2024Q4
Operator,Operator,"Ladies and gentlemen, we will now begin the question and answer session. Your first question comes from Jessica Reif Ehrlich with Bank of America Securities. Your line is open.",0.0,WBD,2024Q4
Jessica Reif Ehrlich,Analyst,"Thank you, good morning everyone. I have two questions. First, could you provide an update on the restructuring that's set to begin on January 1? Can you also discuss any potential long-term transformative actions? Secondly, in the shareholder letter, there was mention of near-term linear pressure due to the addition of direct-to-consumer services and increased packaging flexibility. Can you elaborate on that and perhaps discuss the outlook for consolidated growth in 2025?",0.1,WBD,2024Q4
Gunnar Wiedenfels,Chief Financial Officer,"Good morning Jessica, this is Gunnar. I'll address those two points. First, regarding the corporate restructuring, this has been a major focus for us and we’ve made significant advancements. As mentioned in our letter, the new structure took effect on January 1. There are still ongoing projects to manage and implement the financial components of this reorganization. For instance, some processes are still being handled by the incorrect entities, which has tax implications, so we are diligently working through these issues and making good progress. We anticipate wrapping this up in the coming weeks.",0.3,WBD,2024Q4
David Zaslav,President and Chief Executive Officer,"I would just add that I believe this restructure provides clear insight into the strength of our studio, library, and global streaming business. It positions us to better respond to this generational disruption. The new structure will improve our strategic flexibility and potentially unlock additional shareholder value, which is a priority for us. We are also committed to executing our strategy while seizing broader market opportunities as they emerge. We anticipate that there will be opportunities in this disruption.",0.5,WBD,2024Q4
Gunnar Wiedenfels,Chief Financial Officer,"Yes, the last thing I wanted to mention is that we don’t anticipate seeing a significant change in our segment reporting from today’s viewpoint. However, we do plan to offer additional guidance to clarify our global linear network and our streaming and studios operations, which can be seen as a sort of sub-consolidation. Based on our progress, I’m optimistic that we can provide this information when we report our first-quarter earnings. Regarding your concerns about linear pressure and packaging flexibility, I want to emphasize the incredible work our affiliate team has achieved in 2024. They have managed to negotiate agreements ahead of schedule and secure rate growth in the current environment, which is truly a noteworthy accomplishment.",0.6,WBD,2024Q4
David Zaslav,President and Chief Executive Officer,"Having started in the distribution side of the business gives us a different rhythm. Typically, you would expect your deals to grow by 20% annually, which brings either opportunities or uncertainties. In my experience, we’ve never had such a secure foundation, where nearly all of our deals come with increases and all of our channels are secured for several years. This gives us a significant advantage as we move forward, removing one concern from our equation.",0.5,WBD,2024Q4
Gunnar Wiedenfels,Chief Financial Officer,"And as we look forward, the one thing I would want to call out, we’ve seen pretty strong rate increases in the prior year, in Q4, close to 6% rate increases in our domestic affiliate business. With the new set of deals, those rate increases are going to be slightly slower, more in the low single digits versus mid-single digit rate, but as we laid out, we have also as an industry come together and created some flexibility that will drive the sustainability and longevity of that ecosystem. Then specifically when we look at the international part of our business, it’s really remarkable how across our international footprint in the aggregate, we are already seeing positive net revenue impact from our affiliate renewals. What does that mean? In many of these renewals, we’re working together with our affiliate partners to make some concessions on the linear side, where they’re facing not as pronounced but similar pressures as domestically here, but we’re cooperating through soft or hard bundles on the DTC side and net-net in the aggregate we’re growing. Across our international affiliate portfolio, we’re up in revenue - that’s the kind of crossing of the line that we’re looking for. We’re not there in the U.S. yet, but it’s a great proof point that we’re seeing that strong value and demand for our content internationally already leading to consolidated growth.",0.7,WBD,2024Q4
