date,sentiment_mean,sentiment_std,sentiment_polarity,weighted_sentiment,sentiment_momentum,sentiment_volatility,sentiment_rsi,sentiment_macd,sentiment_rate_of_change,sentiment_acceleration,sentiment_ma_7d,sentiment_ma_14d,sentiment_trend_7d,sentiment_trend_14d,article_count,article_count_ma_7d,relevance_mean,source_count,Technology_sentiment_score,Finance_sentiment_score,Financial Markets_sentiment_score,Earnings_sentiment_score,Economy - Macro_sentiment_score,Manufacturing_sentiment_score
2024-01-01,-0.0204831282051282,0.1520741112064113,neutral,-0.0023576852620473,0.0,0.1520741112064113,50.0,0.0,0.0,0.0,-0.0204831282051282,-0.0204831282051282,0.0,0.0,39,39.0,0.1151037692307692,6,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.0175852207792207,0.1632672850528932,neutral,0.0023446920691917,0.0380683489843489,0.1576706981296523,50.0,0.0,-1.858522223906117,0.0,-0.0014489537129537,-0.0014489537129537,0.0,0.0,77,58.0,0.1333331038961039,8,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,-0.0072445581395348,0.1570812604248929,neutral,-0.0008520998740292,-0.0248297789187556,0.1574742188947325,50.0,0.0,-1.4119685632889676,-0.0628981279031046,-0.0033808218551474,-0.0033808218551474,0.0,0.0,86,67.33333333333333,0.1176193023255813,13,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,0.0273921551724137,0.167460517336549,neutral,0.003229572404832,0.0346367133119486,0.1599707935051866,50.0,0.0,-4.781066373521082,0.0594664922307043,0.0043124224017428,0.0043124224017428,0.0,0.0,58,65.0,0.1179013620689655,9,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,-0.007083054054054,0.1534660950311376,neutral,-0.0008269784026484,-0.0344752092264678,0.1586698538103768,50.0,0.0,-1.2585796557252014,-0.0691119225384165,0.0020333271105834,0.0020333271105834,0.0,0.0,111,74.2,0.1167544954954955,14,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06,0.0229225,0.1276590062564907,neutral,0.0027250781780172,0.030005554054054,0.1537868328203927,50.0,0.0,-4.236245244645575,0.0644807632805219,0.0055148559254862,0.0055148559254862,0.0,0.0,58,71.5,0.1188822413793103,7,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-07,-0.0064213076923076,0.1350669818051601,neutral,-0.0011879616809467,-0.0293438076923076,0.1481467721708461,50.0,0.0,-1.2801312113559904,-0.0593493617463617,0.0038096896943728,0.0038096896943728,0.0,0.0,39,66.85714285714286,0.1850030769230769,6,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-08,0.0325516744186046,0.1532327445115046,neutral,0.0038759441488604,0.0389729821109123,0.1473770689881684,50.0,0.0,-6.069321698693778,0.06831678980322,0.0113860900691917,0.0074024377849017,0.0530348026237328,0.0,86,73.57142857142857,0.1190705,14,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-09,0.0312650705882352,0.1261207720323761,neutral,0.0038304927220011,-0.0012866038303693,0.1391091199273338,50.0,0.0,-0.0395249661760565,-0.0402595859412816,0.0133403543276224,0.0100538414297166,0.0136798498090145,0.0,85,74.71428571428571,0.1225166823529411,10,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-10,0.0097915140186915,0.1498324149898349,neutral,0.0013076785679612,-0.0214735565695437,0.1383823839190733,50.0,0.0,-0.6868225839740778,-0.0201869527391743,0.0157740789216547,0.0100276086886141,0.0170360721582264,0.0,107,77.71428571428571,0.1335522336448598,11,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-11,-0.0028490902255639,0.1103976472595605,neutral,-0.0004446207946567,-0.0126406042442555,0.1349301121196872,50.0,0.0,-1.2909754528385615,0.0088329523252882,0.0114539010076579,0.0088569996964161,-0.0302412453979777,0.0,133,88.42857142857143,0.1560571127819549,12,0.0,0.0,0.0,0.0,0.0,0.0
