speaker,title,content,sentiment,symbol,quarter
Operator,Operator,"Welcome to Visa's Fiscal First Quarter 2025 Earnings Conference Call. All participants are in a listen-only mode until the question-and-answer session. Today's conference is being recorded. If you have any objections, you may disconnect at this time. I would now like to turn the conference over to your host, Ms. Jennifer Como, Senior Vice President and Global Head of Investor Relations. Ms. Como, you may begin.",0.0,V,2025Q1
Jennifer Como,SVP and Global Head of Investor Relations,"Thank you. Good afternoon, everyone, and welcome to Visa's fiscal first quarter 2025 earnings call. Joining us today are Ryan McInerney, Visa's Chief Executive Officer, and Chris Suh, Visa's Chief Financial Officer. This call is being webcast on the Investor Relations section of our website at investor.visa.com. A replay will be archived on our site for 30 days. A slide deck containing financial and statistical highlights has been posted on our IR website. Let me also remind you that this presentation includes forward-looking statements. These statements are not guarantees of future performance and our actual results could differ materially as a result of many factors. Additional information concerning those factors is available in our most recent annual report on Form 10-K and any subsequent reports on Forms 10-Q and 8-K, which you can find on the SEC's website and the Investor Relations section of our website. Our comments today regarding our financial results will reflect revenue on a GAAP basis and all other results on a non-GAAP nominal basis unless otherwise noted. The related GAAP measures and reconciliation are available in today's earnings release and related materials available on our IR website. And with that, let me turn the call over to Ryan.",0.0,V,2025Q1
Ryan McInerney,CEO,"Good afternoon, everyone. Thank you for joining us. Before we begin, I'd like to take a moment to acknowledge last night's tragic air collision in Washington, DC. Our hearts go out to all those affected by this terrible event, particularly the families and friends of the victims. Turning now to our results. We had a strong start to our fiscal year with $9.5 billion in net revenue, up 10% year-over-year, and EPS up 14%. Our key business drivers improved from the fourth quarter. In constant dollars, overall payments volume grew 9% year-over-year, US payments volume grew 7%, and international payments volume grew 11%. Cross-border volume excluding Intra-Europe rose 16% in constant dollars, and processed transactions grew 11% year-over-year. Our strategy across consumer payments, new flows, and value-added services continues to resonate with our clients and is reflected in our business results. Back in February 2020, when we articulated our strategy, our total first quarter volume on our network had just crossed $3 trillion. Just five years later, our total quarterly volume was above $4 trillion. At the same time, CEMEA and Latin America had more volume from people using their cards to get cash than to make payments. Five years later, as a result of double-digit constant dollar payments volume growth in both regions, the situation has flipped and we now have more than 60% of our volume from digital payments. I'm looking forward to our Investor Day next month to discuss our strategy and our plans for future growth. For now, let's look at some of the quarterly highlights that have helped to deliver this impressive progress. In consumer payments, we now have 4.7 billion credentials, up 7% year-over-year, and 12.6 billion tokens, up 44% year-over-year. We continue to grow our credentials in an increasingly digital world. Interest in our Visa Flexible Credential continues to grow. We have now launched with the Affirm Card in the US, expanded the funding options with SMCC in Japan by adding small business cards and announced a multi-currency solution with fintech Liv in the UAE. Tap to Add Card is now live in the US for nearly 60% of all Visa consumer credit and debit cards. Since the launch, millions have added their cards to their wallets by tapping, eliminating the overwhelming majority of provisioning fraud as compared to manual entry into a phone. And 74% of all face-to-face transactions are now Tap to Pay. A few countries I would like to call out: Japan, where Tap to Pay penetration grew 20 percentage points since last year to 44%; Argentina, where Tap to Pay penetration was up 22 percentage points to 78%; and the US, where it was up 13 percentage points to 57%. Several key initiatives contributed to the growth in these countries, including targeted marketing campaigns, the launch of transit acceptance in certain cities, and increased issuance of Tap to Pay-enabled credentials. Finally, Tap to Phone is now live in 118 markets, and in the last year, the number of phones enabled has more than doubled and the number of transactions has more than tripled. Now, let me turn to a few deal highlights from across the globe. First, in Mainland China, we renewed our partnership with ICBC, the largest bank in the world in terms of assets and the biggest credit card issuer in Mainland China in terms of number of cards. In India, we renewed our long-standing credit agreement with ICICI Bank, SBI Card, and Kotak Mahindra Bank, three of our largest issuers in the country with a focus on growing affluent and cross-border volume. We also renewed our debit agreement with Kotak Mahindra Bank. Also in our Asia-Pacific region, we signed a long-term renewal with Bank of New Zealand, one of the largest banks in the country across consumer debit, consumer credit, and business credit. In Argentina and Uruguay, we renewed our portfolios with Santander for a long-term agreement with a focus on growing affluent. Also in Latin America, we have deepened our partnership with BAC to grow acceptance with a goal to enable 300,000 nano and small merchants and to grow in new verticals. We also won the issuance of their largely cross-border credit portfolio, Millas Plus, offering our expertise and value-added services. Similarly, in Brazil, we extended our partnership with digital bank Neon, which includes the launch of a new credit portfolio. We are also pleased to have renewed a pan-European agreement with BNP Paribas, which also includes the winning of additional portfolios in France and Belgium. When we talk about the total addressable opportunity in consumer payments, we often talk about the opportunity to win share from domestic networks. And we are continuing to have success converting credentials from domestic networks to Visa. In Bangladesh, we secured nearly 6 million credentials with Dutch-Bangla Bank from their closed-loop system. And Banco Popular de Puerto Rico, the largest issuer and acquirer in Puerto Rico, renewed a multi-year credit and debit partnership with Visa that aims to expand digital penetration in the country through the launch of new products, including a co-badge card with a local network. And we've renewed our business with RBC Royal Bank in 10 countries across the Caribbean, and we also expanded our relationship to include the transfer of debit credentials in the Dutch Caribbean to Visa and are supporting the development of new credit and commercial products. And co-brand cards remain a key area of strength for us and this quarter was no exception. In India, we launched two very important cards. First, the Times Black ICICI Bank credit card, catering to high-net-worth individuals with travel and lifestyle benefits. Second, the HSBC Taj credit card, India's first premium co-branded hospitality credit card. In our CEMEA region, we signed with real estate developer, investor, and manager Aldar for a co-brand card for its Darna Rewards by Aldar loyalty program in the UAE with issuing bank Emirates NBD. We also launched a new co-brand card in Saudi Arabia with Alrajhi Bank, and Marriott Bonvoy, the global travel program by Marriott International. In the airline category, we won the portfolio for EGYPTAIR, Africa's second largest airline. We also expanded our business in the SWISS card Miles & More program. And in the retail segment, we signed with Casas Bahia, one of the top retailers in Brazil for co-brand cards, and with Bolt, a leading ride-hailing and food delivery operator in Ukraine. So, through traditional issuance, winning share from domestic networks, and leveraging our brand, products, and innovation to secure important co-brands, our consumer payments business is strong. Now to new flows, where revenue grew 19% year-over-year in constant dollars. Visa Direct has now crossed the 10 billion transaction mark over the last 12 months with nearly 3 billion transactions this quarter. We continue to expand Visa Direct in several ways, one of which is building and deepening partnerships directly with issuers and fintechs. We are excited to partner with X Money for their much-anticipated launch of the X Money account, including P2P payment functionality set for later this year. Through the partnership, X Money will utilize Visa Direct to enable secure and instant funding of their X Wallet with a user's debit card. Users will also have the option to instantly transfer funds back into their bank account via the same debit card. This quarter, we signed an agreement with OnePay, a fintech company with more than 3 million monthly active users for Visa Direct as the engine for wallet loads. In Ecuador, Banco Pichincha, one of the country's largest issuers, will begin using Visa Direct for cross-border remittance payments. Our broad and deep cross-border capabilities continue to be important differentiators, and this quarter, Libra Internet Bank in Romania launched a real-time multi-currency FX service for their business customers utilizing our Currencycloud solution. In Asia-Pacific, OCBC has launched a cross-border P2P solution on the OCBC app, allowing their customers in Singapore to send money to Chinese wallets using Visa Direct; all they need is the recipient's China national ID name and mobile number. Now, moving to commercial, where volumes were up 6% year-over-year this quarter in constant dollars, we had some notable progress in specific verticals. First, in the food and grocery delivery vertical, we had two recent wins. In the US, we are pleased that DoorDash's shopper card program will soon be using Visa Virtual Commercial credit cards to enable Dashers to pay for customer orders at physical merchant outlets. This is in addition to our Visa Direct relationship with DoorDash in the US, Australia, and Canada to enable Dasher payouts. In Brazil, we signed a commercial business card deal for commercial customers of iFood Pago, the fintech for the largest food delivery platform in the country. In the healthcare vertical, we reached a virtual card agreement with an insurtech company in France, mySofie, offering medical policyholders an easy way to pay for their healthcare. In the T&E vertical, we recently renewed and deepened our partnership with Airwallex, a global financial platform enabling more than 150,000 businesses to manage payments and money movement across borders. Today, Visa and Airwallex have live card programs in Australia, Hong Kong, the UK, United States, Canada, Netherlands, and Singapore to enable businesses to easily make digital card payments around the world, and soon, we will be expanding to new geographies across our use cases in expense cards and B2B travel. In both Visa Direct and commercial, we continued to develop innovative new solutions and use cases that helped us retain and secure business. Now to value-added services, where in the first quarter, revenue grew 18% in constant dollars. Across our solutions, we continue to grow revenue as we enhance Visa payments, enable services for all types of payments, and go beyond payments. We often partner with acquirers who utilize Visa's Acceptance Platform to offer their merchant clients compelling solutions. When this happens, we generate revenue on both Visa and non-Visa transactions. Three examples this quarter are European acquirer emerchantpay, Guatemalan acquirer NeoNet, and Paraguayan acquirer Bancard, who will all offer Cybersource to their merchants. We are also partnering with Fiserv to include our Cybersource gateway as a solution for their acquirers and merchants in Europe and Asia-Pacific. This is in addition to Fiserv expanding their use of cardholder authentication from CardinalCommerce to further extend our global partnership into additional Fiserv platforms. In our risk solutions, in 2024, we launched Visa Protect for A2A payments, with plans to expand to 10 new RTP networks in 2025. Powered by AI-based fraud detection models, this new service provides a real-time risk score that can be used to identify fraud on account-to-account payments. We are now piloting the solution with five significant players in Brazil, who represent more than 20% of Pix transactions. We are also very pleased to have closed our acquisition of Featurespace, enabling us to provide an expanded set of fraud prevention tools to our clients and protect consumers in real time across various payment methods. In advisory services, we continue to see strong demand. One example of a recent project is with Alrajhi Bank, where we are expanding our advisory relationship into risk, digital enablement, and data analysis across their portfolios. So, across our value-added services portfolio, we are innovating with new solutions and deepening our partnerships with clients to drive growth. To wrap it up, we began our fiscal year with strong performance, an ever-growing obsession for our clients, and a focus on continued innovation as we build the future of payments. I look forward to seeing you in February at our Investor Day. And now, over to Chris.",0.8,V,2025Q1
Chris Suh,CFO,"Thanks, Ryan. Good afternoon, everyone. Our first quarter results reflected improving underlying drivers and effective execution of our business. In constant dollars, global payments volume was up 9% year-over-year, and cross-border volume, excluding Intra-Europe, was up 16% year-over-year. Processed transactions grew 11% year-over-year. Fiscal first quarter net revenue was up 10%, higher than our expectations, primarily due to strong international transaction revenue and value-added services revenue. Net revenue was up 11% in constant dollars. EPS was up 14% year-over-year and 15% in constant dollars, higher than expected, primarily due to revenue outperformance and a lower-than-expected tax rate. Now, let's go into the details. In the US, total payments volume grew 7% year-over-year, up 2 points from Q4. Credit grew 7% and debit grew 8%. The US benefited from a strong holiday shopping season, which is the period from November 1st through December 31st and the lapping of the impact of Reg II implementations, which had a modest drag in Q1 of last year. In the US, consumer holiday spending growth was in the upper mid-single digits on a year-over-year basis. The consumer categories with the strongest growth were discretionary categories, such as retail, travel, and entertainment. Focusing on retail, holiday spending growth was a couple of points higher than last year, and retail spending growth on key shopping days from Thanksgiving to Cyber Monday was several points higher. E-commerce was a higher share of retail holiday spending versus last year. In key countries around the globe, we saw similar trends with consumer retail holiday spending growth improving from last year. Moving to international markets, total payments volume was up 11% in constant dollars, up from Q4. In most of our regions, payments volume year-over-year growth rates in constant dollars were strong for the quarter, with Latin America up 22%, CEMEA up 18%, and Europe up 13%. Asia-Pacific payments volume growth saw a slight improvement from Q4 in constant dollars to just above 1% year-over-year for the quarter, reflecting a still somewhat muted macroeconomic environment. Now to cross-border volume, which I'll speak to in constant dollars and excluding Intra-Europe transactions. Total cross-border volume was up 16% year-over-year in Q1, 3 points above Q4. E-commerce, measured as card-not-present volume ex travel, and cross-border travel volume were both up 16% year-over-year for Q1. E-commerce volumes continued to benefit from the strength in retail in part due to the strong holiday shopping season. Travel volumes performed well across our regional corridors due to broader strength in both consumer and commercial spending. Outbound Europe and Asia-Pacific travel volume growth also benefited from solid performance of client portfolios. For the US, both outbound e-commerce and travel volume growth were also helped by the strong dollar. Now, let's review our first-quarter financial results. I'll start with the revenue components. Service revenue grew 8% year-over-year versus the 8% growth in Q4 constant dollars payments volume. Data processing revenue grew 9% versus 11% processed transaction growth, due largely to the back-half loaded 2025 pricing impact that was included in our initial guidance. Had pricing been more evenly spread across the year, as in the prior year, these two growth metrics would have been more in line for the first quarter. International transaction revenue was better than expected, benefiting from higher cross-border volumes and higher currency volatility than we expected. Year-over-year growth was up 14%, below the 16% increase in constant dollar cross-border volume, excluding Intra-Europe, due primarily to foreign exchange and lapping higher currency volatility from last year. Other revenue grew 32%, primarily driven by better-than-expected consulting and marketing services growth and select pricing modifications. Client incentives grew 13%, reflecting a strong renewal quarter. Now to our three growth engines. Consumer payments revenue growth was driven by improving payments volume, cross-border volume, and processed transaction growth. New flows revenue grew 19% year-over-year in constant dollars, driven by better-than-expected commercial cross-border performance across all regions and Visa Direct transaction growth. Commercial payments volume rose 6% year-over-year in constant dollars, mainly driven by favorable days mix impact as well as strong cross-border volumes. Visa Direct transactions grew 34% year-over-year, helped by growth in Latin America for interoperability among P2P apps. Value-added services revenue grew to $2.4 billion, a growth rate of 18% in constant dollars, led by strong growth in consulting and marketing services, issuing solutions, and risk and identity solutions. Operating expenses grew 11%, in line with our expectations, driven by increases in personnel and general and administrative expenses. In our GAAP results, we had $213 million in severance costs related to changes to our workforce, reflecting our efforts to focus investment on the highest growth opportunities for our business as well as accelerating our innovation to better serve our clients. Our tax rate was 17.7%, better than expected due to various items, including a change in our geographic mix of earnings. EPS was $2.75, up 14% over last year, with an approximately 1-point drag from exchange rates and an approximately 0.5-point drag from acquisitions. In Q1, we bought back approximately $3.9 billion in stock and distributed $1.2 billion in dividends to our stockholders. At the end of December, we had $9.1 billion remaining in our buyback authorization. Now, let's move to what we've seen so far in Q2. Through January 28th, driver trends have remained strong. US payments volume was up 8%, with debit up 9% and credit up 7% year-over-year. Processed transactions grew 11% year-over-year. For constant dollar cross-border volume, excluding transactions within Europe, we saw total volume grow 17% year-over-year, travel-related cross-border volume grew 17% year-over-year and cross-border card-not-present ex-travel volume grew 16%. Now, on to our expectations. Remember that adjusted basis is defined as non-GAAP results in constant dollars and excluding acquisition impacts. You can review these disclosures in our earnings presentation for more detail. For the second quarter, we expect adjusted net revenue growth to be in the high-single digits to low-double digits. I would note that the primary difference between Q1 and Q2 adjusted net revenue growth is the lapping of leap year. We expect second-quarter adjusted operating expense growth to be in the high-single to low-double digits. Non-operating income in the second quarter is expected to be negligible. And our tax rate in the second quarter is expected to be around 17.5%. As a result, we expect second-quarter adjusted EPS growth to be in the high-single digits. We have now closed the acquisition of Featurespace and lapped the impact of Pismo in January. For acquisition impacts, we expect a minimal impact to net revenue growth and approximately 1.5-point contribution to operating expense growth and an approximately 0.5-point headwind to EPS growth in the second quarter. Now, let's cover our full year expectations. We now expect full-year adjusted net revenue growth to be in the low-double digits. There are no material changes to our adjusted operating expense growth and non-operating income expectations for the full year. Based on our lower-than-expected tax rate in Q1 and an updated view for the rest of the year, we're lowering our expected tax rate to be between 17.5% and 18%. Taking all of this together, we now expect adjusted EPS growth to be in the low teens. Featurespace and Pismo are expected to have a minimal impact on full-year net revenue growth and approximately 1 point contribution to operating expense growth and an approximately 0.5-point headwind to EPS growth. In summary, we're off to a strong start to the year. We remain focused on the execution of our growth strategy for the rest of 2025 and look forward to Investor Day in a few weeks. And now, Jennifer, it's time for some Q&A.",0.8,V,2025Q1
Jennifer Como,SVP and Global Head of Investor Relations,"Thanks, Chris. And with that, we're ready to take questions.",0.0,V,2025Q1
Operator,Operator,"Thank you. Sanjay Sakhrani with KBW, please proceed.",0.0,V,2025Q1
Sanjay Sakhrani,Analyst,"Thank you. I had a question on the improved outlook. Obviously, the volumes did better, and they accelerated. Does the improved outlook assume the growth rate sort of sustains themselves, or maybe you could just go through sort of what the drivers are? Thanks.",0.5,V,2025Q1
Chris Suh,CFO,"Yeah. Hi, Sanjay. Thanks for the question. Yeah, we feel great about the Q1 results. As I indicated, we’ve seen positive trends, but it is just one quarter, and we'll have more of an update as we move closer to the second half of the fiscal year.",0.6,V,2025Q1
Jennifer Como,SVP and Global Head of Investor Relations,"Next question, please?",0.0,V,2025Q1
Operator,Operator,Thank you. Will Nance with Goldman Sachs. Please go ahead.,0.0,V,2025Q1
