speaker,title,content,sentiment,symbol,quarter
Operator,Operator,"Good morning and welcome to the Verizon First Quarter 2024 Earnings Conference Call. All participants have been placed in a listen-only mode, and the floor will be open for questions after the presentation. Today's conference is being recorded. If you have any objections, you may disconnect at this time. It is now my pleasure to turn the call over to your host, Mr. Brady Connor, Senior Vice President, Investor Relations.",0.0,VZ,2024Q1
Brady Connor,"Senior Vice President, Investor Relations","Thanks, Brad. Good morning, everyone, and welcome to our First Quarter Earnings Conference Call. I'm Brady Connor, and I'm joined by our Chairman and Chief Executive Officer, Hans Vestberg, as well as our Chief Financial Officer, Tony Skiadas. Before we begin, I'd like to draw your attention to our Safe Harbor Statement, which can be found on Slide 2 of the presentation. Information in this presentation contains statements about expected future events and financial results that are forward-looking and subject to risks and uncertainties. Discussion of factors that may affect future results is contained in Verizon's filings with the SEC which are available on our investor relations website. This presentation contains certain non-GAAP financial measures. Reconciliation of these non-GAAP measures to the most directly comparable GAAP measures are included in the financial materials posted on our website. Earlier this morning, we posted to our investor relations website a detailed review of our first quarter results. You'll find additional details in the earnings materials on our website. With that, I'll turn the call over to Hans.",0.2,VZ,2024Q1
Hans Vestberg,Chairman and Chief Executive Officer,"Thank you, Brady. Good morning, everyone, and welcome to our first quarter 2024 earnings call. I'm pleased to report that we have started the year with solid momentum, building on the progress we made throughout 2023. Our results this quarter further validate that our strategy is working and position us well for profitable growth this year. Our execution in the first quarter keeps us on track towards our full year 2024 guidance, as we continue to deliver against our key financial metrics. We grew Wireless Service revenue and adjusted EBITDA and generated solid free cash flow. Operational Excellence is our priority. Our team is delivering. We have the right strategy, and we're working to keep this progress up quarter-by-quarter. It has been a busy quarter across our business. We produced big moments at the Super Bowl. Published our first consumer connections report, achieved milestones in our C-band rollout, added new members to our leadership team, published our annual ESG report, accomplished many goals with Citizen Verizon, and completed a pension transaction that increases our financial flexibility. Verizon has a differentiated position in the industry. We have the highest-quality customer base in consumer and business, the largest adjusted EBITDA, and a great team that knows how to execute our strategy. Turning to our first quarter results, Wireless Service revenue growth climbed to 3.3%. Our revenue performance combined with our work on cost efficiency programs translated to a $12.1 billion adjusted EBITDA, that's a year-over-year growth of 1.4%. We generated $2.7 billion in free cash flow and we expect free cash flow to build throughout the year, similar to 2023. Our core products on mobility, broadband and private networks are at the center of people's lives and businesses. Connectivity is only becoming more vital with each passing day, and our investments in a world-class network ensure that our customers can depend on us to deliver the reliable, high-quality experience they deserve. Now, let me go into some specifics about this quarter. Our consumer team is executing extremely well. Despite taking further pricing action this quarter, our postpaid phone net adds performance improved year-over-year, evidence of how our differentiated value proposition is resonating with customers. Our net loss of 158,000 is more than 100,000 net adds better than our first quarter performance in 2023. This achievement was fueled by continued momentum in postpaid phone gross adds, which grew more than 5% year-over-year. We mitigated churn impacts from pricing actions through laser-focused retention efforts and the strength of our value proposition. These results represented Verizon Consumer Group's strongest first quarter postpaid phone net adds performance since 2018. Our targeted and segmented go-to-market approach, combined with myPlan and its exclusive perks, is clearly working. With myPlan, we are building a recurring revenue stream out of perks and services. These incentives, like our popular Netflix plus Max bundle, add value and deepen our customer relationships. We know our customers extremely well and tailor our offerings to their needs. We're bringing the same proven approach to our prepaid business. Within the quarter, we established our new value market leadership team, bringing in experts to execute our plans with speed and discipline. While there is still work to be done, we're seeing early signs of progress in Visible and Total By Verizon. In February, we stopped processing new affordable connectivity program activations, which caused headwinds for our SafeLink brand. The ACP may shut down, but Verizon is committed to providing households with access to high-quality connectivity and reliable home internet without data caps, and does not believe that income should be a barrier to access. Since 2020, we have offered high-speed home internet to qualifying customers for as low as $20 a month through our Verizon forward program and we have other plans to reach households who rely on ACP. For business mobility, postpaid phone net adds were 90,000. The team continues to put up subscriber growth as a market share leader in a competitive environment even while implementing pricing actions within the quarter. More businesses rely on Verizon than any other provider to deliver mission-critical support for their day-to-day operations. In total, first quarter post-paid phone net losses were 68,000, a 59,000 net loss improvement versus prior year. We're exiting the quarter with both consumer and business delivering their strongest performance in March, a good sign for the year ahead. Our broadband business continues to be a key growth engine, now serving more than 11 million subscribers. We have grown our base 18% over the last year and our network is a critical part of the infrastructure that homes and businesses rely on. Fixed wireless access has turned out to be a large and growing opportunity. This is now a meaningful piece of our business. We knew that fixed wireless access would be a hit with consumers who like its quality, reliability, and easy setup. Businesses are showing similar excitement as this was our biggest quarter-to-date for the net adds in business fixed wireless access with 151,000 setting our new high. Fios remains extremely popular, with one of the highest third-party net promoter scores in the industry. And as we already know, Fios is the best pure broadband offering in the country. Together, our total broadband portfolio delivered a strong quarter with 389,000 net adds. As with mobility, we saw good momentum with the broadband net adds as we exited the quarter and we expect that to continue. We also had a great quarter in private networks, signing transformative deals across industries. Xerox selected our Network and Service solution as its framework for modernizing its information technology system. We also signed a new private network deal with the global power solution leader, Cummins Inc. And iconic American sport leagues are turning to us for the networks that serve their fans, players, and coaches. We're on the field, on the aisles, and in the stands, and in the parking lots. During the quarter, we held a partner summit where we unveiled our sports and entertainment strategy. We are at the center of the cultural moments that matter the most to our customers, from concerts and performances to athletic achievements and competition. We're already in every National Football League stadium in the country. We're now expanding services with NFL teams, including the installation of a private 5G network at the L.A. Chargers Training facility. We also renewed our partnership as the official 5G network of the National Hockey League in the United States and are expanding services throughout its arenas. As you may have seen in our consumer connection report during the '23-'24 NFL season, the average fan used more data than the year before. These live moments matter to our customers and they want to share them by text, by phone, and by video. We are a vital part of their experiences. Our private networks business is growing and full of long-term contracts with the best partners around the world. All of this is supported by the infrastructure we have built and are building. We operate the nation's most reliable and robust network for all customers from households to global enterprises. Recently, we passed 250 million POPs covered with C-Band, achieving our target almost a year ahead of plan. The pace and quality of our build-out is spectacular. And most importantly, our customers love the C-Band experience. In the first 76 markets where we rolled out C-Band, we see a higher premium mix and reduced churn. Our strategy from the start was to build a network once, to meet the needs of the present, and to optimize it for the future, and we're doing just that. We have been working with AI for several years, and our powerful network positions Verizon to lead the AI revolution. In 2023, we released a set of responsible AI principles to guide our efforts to leverage new AI technologies in ways that positively impact our stakeholders and establish Verizon as a trusted brand and partner with respect to AI. Enabling AI at scale for improved customer service is key. We're also aggressively driving AI transformative potential with our businesses, something our network was built to support. We already had several generative AI projects going live. Our AI strategy focuses on three priorities. First, optimizing internal processes and operations through machine learning, such as creating efficiencies in fuel consumption. AI is already central to our cost transformation program and will become even more important over time. Secondly, enhancing product experiences with AI capabilities like the personalized plan recommendation on myPlan, which is producing good early results. And thirdly, establishing an AI-based revenue stream by commercializing our network's unique low latency, high bandwidth, and robust mobile edge compute capabilities. Generative AI workloads represent a great long-term opportunity for us. As we expand our network and increase our performance advantage, we're also making Verizon a more efficient organization. We are back to business-as-usual levels on CapEx spend, as we had promised. And we have struck a balance between profitable growth and free cash flow that supports both our dividend and a stronger balance sheet. This gives us greater flexibility to accelerate deleveraging throughout the second half of the year, bringing us closer to our long-term leverage targets. Our dividend is healthy and secure, and our free cash flow dividend payout ratio continues to improve. We are focused on putting our board in a position to continue to raise the dividend each year, building on our current industry record of 17 consecutive increases. Now let me turn the call over to Tony to discuss our financial and operational performance in more detail.",0.7,VZ,2024Q1
Tony Skiadas,Chief Financial Officer,"Thanks, Hans, and good morning. Our first quarter results demonstrate the strong execution of our team, building on the momentum from 2023 and delivering solid results in our three priorities of Wireless Service revenue, adjusted EBITDA, and free cash flow. We saw further improvements in postpaid phone net adds and another strong quarter of growth in our broadband subscriber base. We accomplished this while maintaining our promotional discipline as evidenced by our year-over-year adjusted EBITDA growth of 1.4% and more than 16% year-over-year free cash flow growth. Consumer post-paid phone net losses were 158,000 for the quarter, better versus the prior year by 105,000, driven by improvements in both gross adds and churn. As Hans mentioned, this represents our best first quarter performance in consumer post-paid phone net adds since 2018. We continue to see improved operational performance with consumer post-paid phone gross adds up more than 5% year-over-year. And as you heard from Hans, we exited the quarter with good momentum. The changes we made over the last few quarters, including launching a regional sales structure and updating our sales compensation plans, provide the right framework for our go-to-market approach. We believe these changes, combined with the continued success of myPlan and increased utilization of C-Band, will help us sustain our momentum. Consumer postpaid phone churn of 0.83% represents a 1 basis point improvement year-over-year. This result is a reflection of the strength of our value proposition, as well as our high-quality customer base. The first quarter post-paid phone net add improvement coincided with a further decline in upgrades, which were down nearly 21% year-over-year. We continue to see success with our disciplined and segmented approach to customer offers in alignment with our strategy. On the business side, we delivered 90,000 postpaid phone net adds. Business volume results were challenged early in the quarter as the team implemented pricing increases in January. However, we saw positive net add momentum built throughout the quarter and we exited the quarter well positioned to continue to build on operational improvements in both mobility and broadband. That sales performance helped Verizon business achieve fixed wireless access net adds of 151,000, their best quarterly result to date. We've been pleased with how businesses have adopted FWA, and we continue to see strong demand from small businesses and enterprises which are attracted to the ease of deployment, reliability, and the flexibility of the product. Fixed wireless net adds for consumer were 203,000, resulting in a consolidated total of 354,000. This reflects the attractiveness of FWA as an alternative to traditional cable broadband, even in the market that saw muted activity. We continue to be comfortable with this pace of growth, believing it provides the right combination of base growth, ARPU accretion, and the superior experience our customers expect on the Verizon network. And our third-party Net Promoter Scores for our FWA product continue to outpace traditional cable broadband offerings, as we remain focused on building a long-term sustainable business. Overall, broadband net adds were 389,000, including 53,000 Fios Internet net adds. We're pleased with how Fios continues to grow in the marketplace, even as move activity across the country remains lower than prior years. We finished the quarter with over 11.1 million broadband subscribers, including over 3.4 million on FWA. We've now added more than 3 million broadband subscribers in the last two years alone. On prepaid, starting this quarter, we are disclosing subscriber results with and without our SafeLink brand. This disclosure provides improved transparency into our prepaid results. As a reminder, SafeLink is our government subsidy program brand offering and holds the majority of our ACP customers. The actions we've taken to scale Visible and Total by Verizon, as well as address operational execution with Straight Talk, drove improvements in our prepaid performance. Prepaid net losses excluding SafeLink were better by 146,000 year-over-year. While we are pleased to see the improvements, we still have work to do to address challenges in the prepaid business. That includes navigating the uncertainty around ACP, and we recently announced plans to provide accessible, affordable, and reliable connectivity options for those who need it most. As a reminder, we have approximately 1.1 million prepaid ACP subscribers as of the end of the first quarter. We expect the elimination of the program to result in lower wireless service revenue but have minimal impact on our adjusted EBITDA. Moving to our financials, consolidated revenue for the quarter was $33 billion, up 0.2% year-over-year. The benefits of the pricing actions we took in the quarter, combined with improved operating metrics, offset the year-over-year decrease in wireless equipment revenue due to lower upgrades. Wireless service revenue growth was 3.3% for the first quarter. This represents a significant acceleration in our revenue growth as the full year 2023 growth rate, excluding the reallocation of certain revenues, was only 1.3%. Consumer led the way with wireless service revenue growth of 3.4%, driven by ARPA growth of 4.4%, and improved year-over-year postpaid phone net add performance. In addition to targeted pricing actions, ARPA continues to benefit from the further adoption of myPlan. myPlan has been instrumental in growing our premium mix, which now stands at 42% of our postpaid phone base. We're also starting to see a growing impact from perk revenue as we scale the number of subscriptions. With over 20% of the postpaid base on myPlan, we see further opportunities for ARPA accretion as we expect to double the number of customers on myPlan in our postpaid base by the end of this year. For the first time, we are disclosing fixed wireless access revenue within our externally released results. FWA revenue, which is included in wireless service revenue, was $452 million for the quarter, up nearly $200 million versus the prior year. Headwinds in prepaid revenue continue to partially offset the gains from ARPA performance in wireless service revenue. For the quarter, prepaid revenue declined $106 million versus the prior year. While this is an improvement over the prior quarter, it represented an approximately 60 basis point drag on total wireless service revenue growth. Consolidated adjusted EBITDA was approximately $12.1 billion for the quarter, an increase of 1.4% compared to the prior year driven by the growth in wireless service revenue, as well as the impact of lower upgrade volumes. With a full quarter's impact from our recent pricing actions, we anticipate the second quarter's adjusted EBITDA growth to accelerate year-over-year. Operating expenses, excluding depreciation and amortization and special items, were down 0.5% year-over-year. Lower cost of equipment and cost of services were partially offset by an increase in SG&A. Adjusted EPS in the quarter was $1.15, down 4.2% compared to the prior year as gains in adjusted EBITDA were more than offset by higher interest expense, predominantly due to the lower capitalized interest, now that a large portion of the C-band spectrum licenses have been placed into service. Free cash flow for the first quarter was $2.7 billion, up over 16% or nearly $400 million from the first quarter of 2023. On a full year basis, nothing has changed. With free cash flow, we still expect the same puts and takes we shared with you in January. As Hans said, we expect free cash flow to build throughout the year, similar to 2023. Cash flow from operating activities came in at $7.1 billion. Within the quarter, we saw year-over-year pressures from higher interest expense, primarily related to the reduction in capitalized interest. We also made a discretionary pension contribution of $365 million prior to the closing of the retiree pension annuity transaction that we previously disclosed. CapEx for the quarter was $4.4 billion compared to $6 billion in the prior year as a result of our return to BAU levels of spend and historical levels of capital intensity. Our full year guidance of $17 billion to $17.5 billion in CapEx spending remains unchanged. Net unsecured debt at the end of the quarter was $126 billion, a $3.7 billion improvement year-over-year, and a nearly $400 million improvement sequentially. During the quarter, we issued our sixth green bond for $1 billion with proceeds committed to fund additional renewable energy purchases. Net unsecured debt was also impacted by payments of approximately $270 million related to clearance of our C-band spectrum licenses, which are now substantially complete. While these payments do not affect our free cash flow, they are a use of cash. Our net unsecured debt to consolidated adjusted EBITDA ratio was 2.6 times in line with the previous quarter. Given the strength and momentum of our business, we continue to see a clear path to meaningfully delever the balance sheet in the second half of this year. In closing, I'm happy with our start to 2024, and our results from the first quarter set us up well to deliver on our financial guidance for the year. Our disciplined approach continues to put us in a strong position to execute on our capital allocation priorities. Our focus remains on driving operational improvements throughout the year. With that, I will now turn the call back to Hans for his closing thoughts before opening the call up for your questions.",0.6,VZ,2024Q1
Hans Vestberg,Chairman and Chief Executive Officer,"Thank you, Tony. I'm proud of our team and pleased with our financial and operational performance in the first quarter. We exited the quarter with good momentum across the business positioning us well for the year ahead. We're scaling fixed wireless access and private networks while growing our core mobility business. Our disciplined, targeted, and segmented consumer strategy continues to prove itself. And we will apply the same level of energy and execution to the prepaid market. Network excellence drives our business forward and we will not let up on that. Our consistent network investment puts us in an unmatched position to deliver AI services at scale. Finally, our cash flow generation is solid. This shows that we are executing well against our financial objectives. Our cash flow strength allows us to deliver on our capital allocation priorities, including supporting our dividend and paying down our debt. With strong momentum already in the start of the second quarter, I'm confident in our ability to sustain progress towards unlocking Verizon's full potential for all stakeholders. Now, Brady, we are ready to take questions.",0.8,VZ,2024Q1
Brady Connor,"Senior Vice President, Investor Relations","Thanks, Hans. Brad, we're ready for the first question.",0.0,VZ,2024Q1
Operator,Operator,Thank you. We will now start the question-and-answer session. Your first question will be from Simon Flannery of Morgan Stanley. Please go ahead.,0.0,VZ,2024Q1
Simon Flannery,Analyst,"Thank you very much and good morning. Hans, can we discuss the consumer aspect a bit? It was encouraging to see the churn number. Could you share your thoughts on the pricing impact? It appears that it affected the business more than the consumer segment. What are you observing regarding the overall growth in the wireless market? The industry seems to be expanding, and there have been some competitive moves from cable companies recently—can you comment on the overall environment and your ability to maintain this, along with the low upgrade rates? Also, Tony, regarding cash flow, I appreciate your insights on the pacing through the year. Could you elaborate on working capital and its effects this quarter? It seemed like there were some challenges from that impacting the quarterly numbers. Thank you.",0.1,VZ,2024Q1
Hans Vestberg,Chairman and Chief Executive Officer,"Thank you, Simon. I’d like to discuss our consumer business. Early in the quarter, we experienced a slight slowdown in both consumer and business wireless operations. However, it’s evident that our products are appealing to customers. On the consumer front, myPlan is performing exceptionally well. As Tony mentioned in the prepared statements, we are seeing an increase in perks. Our premium offerings are also on the rise, which we clearly observe. Simultaneously, the team has focused on maintaining discipline in promotions and managing churn. We raised prices in the consumer segment without increasing churn, showcasing not only the quality of our product but also our effective use of AI tools to ensure customers receive value and that we're targeting the right customers. This financial discipline is reflected in our overall strategy. While promotions were lower again this quarter, it serves as a way to segment the market and ensure we have the right products. We’ve consistently stated that we anticipate positive net additions in the consumer sector this year, and Sampath's team is likely bringing even more innovations. With myPlan and additional perks, more is on the way this year. I'm genuinely excited about our progress in wireless. The competitive landscape remains familiar, but we are significantly outperforming, backed by our great products and talented team. We've made the necessary shifts in our operational model, which is showing results. We're also improving in the prepaid segment, though we acknowledge there's more work to be done. The team is dedicated and focused on execution, and I'm pleased with our current performance, though we will strive to push even harder going forward. Tony?",0.6,VZ,2024Q1
Tony Skiadas,Chief Financial Officer,"Yeah, sure. So good morning, Simon. So a couple of points on churn. So the results on C-band are significantly better. We see strong churn performance, higher premium mix, and also higher gross adds in C-band markets. And overall in 2024, it's reasonable to expect similar or lower churn in the consumer business compared to 2023. And then on your cash flow question, in the prepared remarks, we said that free cash flow would have a similar shape to last year and build throughout the year. We do expect free cash flow to be up meaningfully in the second quarter. We still see the same puts and takes on free cash flow for the full year as we described in January. So nothing's really changed there. On your question on the quarter, let me start with operating cash flow and unpack that for you. So we saw the discretionary pension contribution in the quarter, which was $365 million in connection with the pension annuitization transaction that we announced in early March. As we said previously, the lower capitalized interest from C-band now manifests itself in operating cash flow, and that was about $300 million higher year-over-year. And the third point I'd make is, we're funding the business for growth and very, very confident in our ability to execute. You saw that again. You saw the growth in the fourth quarter with strong gross adds and we followed that up with 5% gross add growth in the consumer business in the first quarter. And with that growth comes working capital timing that will settle in the second quarter. But overall we're very confident in the cash generation of the business and nonetheless we expect to generate strong free cash flow and we see no obstacles in paying down debt in a meaningful way in the second half of 2024.",0.7,VZ,2024Q1
