date,sentiment_mean,sentiment_std,sentiment_count,sentiment_min,sentiment_max,relevance_mean,relevance_sum,overall_sentiment_mean,overall_sentiment_std,source_count,article_count,sentiment_polarity,sentiment_momentum,sentiment_volatility,weighted_sentiment,sentiment_ma_3d,sentiment_std_3d,article_count_ma_3d,relevance_ma_3d,sentiment_trend_3d,sentiment_ma_7d,sentiment_std_7d,article_count_ma_7d,relevance_ma_7d,sentiment_trend_7d,sentiment_ma_14d,sentiment_std_14d,article_count_ma_14d,relevance_ma_14d,sentiment_trend_14d,sentiment_ma_30d,sentiment_std_30d,article_count_ma_30d,relevance_ma_30d,sentiment_trend_30d,sentiment_rsi,sentiment_macd,sentiment_macd_signal,sentiment_bb_upper,sentiment_bb_lower,sentiment_rate_of_change,sentiment_acceleration,Blockchain_relevance_score,Earnings_relevance_score,Economy - Fiscal_relevance_score,Economy - Macro_relevance_score,Economy - Monetary_relevance_score,Energy & Transportation_relevance_score,Finance_relevance_score,Financial Markets_relevance_score,IPO_relevance_score,Life Sciences_relevance_score,Manufacturing_relevance_score,Mergers & Acquisitions_relevance_score,Real Estate & Construction_relevance_score,Retail & Wholesale_relevance_score,Technology_relevance_score,Blockchain_sentiment_score,Earnings_sentiment_score,Economy - Fiscal_sentiment_score,Economy - Macro_sentiment_score,Economy - Monetary_sentiment_score,Energy & Transportation_sentiment_score,Finance_sentiment_score,Financial Markets_sentiment_score,IPO_sentiment_score,Life Sciences_sentiment_score,Manufacturing_sentiment_score,Mergers & Acquisitions_sentiment_score,Real Estate & Construction_sentiment_score,Retail & Wholesale_sentiment_score,Technology_sentiment_score,Blockchain_weighted_sentiment,Earnings_weighted_sentiment,Economy - Fiscal_weighted_sentiment,Economy - Macro_weighted_sentiment,Economy - Monetary_weighted_sentiment,Energy & Transportation_weighted_sentiment,Finance_weighted_sentiment,Financial Markets_weighted_sentiment,IPO_weighted_sentiment,Life Sciences_weighted_sentiment,Manufacturing_weighted_sentiment,Mergers & Acquisitions_weighted_sentiment,Real Estate & Construction_weighted_sentiment,Retail & Wholesale_weighted_sentiment,Technology_weighted_sentiment,weighted_sentiment_mean,weighted_sentiment_sum,avg_source_weight,unique_sources
2024-01-01,0.100858,0.2240312272697714,2,-0.057556,0.259272,0.262635,0.52527,0.229423,0.2972648623836998,2,2,neutral,0.0,0.2240312272697714,0.02648884083,0.100858,0.2240312272697714,2.0,0.262635,0.0,0.100858,0.2240312272697714,2.0,0.262635,0.0,0.100858,0.2240312272697714,2.0,0.262635,0.0,0.100858,0.2240312272697714,2.0,0.262635,0.0,50.0,0.0,0.0,0.548920454539543,-0.3472044545395429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02648884083,0.05297768166,0.262635,2
2024-01-02,0.0314376666666666,0.1760339811620188,9,-0.373847,0.204125,0.1541161111111111,1.387045,0.0899512222222222,0.1459155711497043,7,9,neutral,-0.0694203333333333,0.2000326042158951,0.004845050929074,0.0661478333333333,0.2000326042158951,5.5,0.2083755555555555,0.0,0.0661478333333333,0.2000326042158951,5.5,0.2083755555555555,0.0,0.0661478333333333,0.2000326042158951,5.5,0.2083755555555555,0.0,0.0661478333333333,0.2000326042158951,5.5,0.2083755555555555,0.0,50.0,0.0,0.0,0.4662130417651236,-0.3339173750984569,-0.6882977387349871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004845050929074,0.0436054583616666,0.1541161111111111,7
2024-01-03,0.05353925,0.0422254707522604,4,-0.003017,0.089809,0.1398647499999999,0.5594589999999999,0.158746,0.0458213192375194,4,4,neutral,0.0221015833333333,0.1474302263946836,0.0074882538164374,0.0619449722222222,0.1474302263946836,5.0,0.1855386203703704,0.0,0.0619449722222222,0.1474302263946836,5.0,0.1855386203703704,0.0,0.0619449722222222,0.1474302263946836,5.0,0.1855386203703704,0.0,0.0619449722222222,0.1474302263946836,5.0,0.1855386203703704,0.0,50.0,0.0,0.0,0.3568054250115894,-0.2329154805671449,0.7030287447117574,0.0915219166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074882538164374,0.0299530152657499,0.1398647499999999,4
2024-01-04,0.1206234444444444,0.163885507352779,9,-0.039205,0.506643,0.152442,1.371978,0.2029983333333333,0.1246581054494652,5,9,neutral,0.0670841944444444,0.1515440466342074,0.018388079118,0.0685334537037037,0.1273816530890194,7.333333333333333,0.1488076203703703,0.0197654444444444,0.0766145902777777,0.1515440466342074,6.0,0.1772644652777777,0.0,0.0766145902777777,0.1515440466342074,6.0,0.1772644652777777,0.0,0.0766145902777777,0.1515440466342074,6.0,0.1772644652777777,0.0,50.0,0.0,0.0,0.3797026835461926,-0.226473502990637,1.2529909261792884,0.0449826111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018388079118,0.165492712062,0.152442,5
2024-01-05,-0.033985,0.1939358760466974,5,-0.309216,0.150973,0.1015808,0.507904,0.1565546,0.1444760114458452,5,5,neutral,-0.1546084444444444,0.1600224125167054,-0.003452223488,0.0467258981481481,0.1333489513839122,6.0,0.13129585,-0.0654226666666666,0.0544946722222222,0.1600224125167054,5.8,0.1621277322222222,0.0,0.0544946722222222,0.1600224125167054,5.8,0.1621277322222222,0.0,0.0544946722222222,0.1600224125167054,5.8,0.1621277322222222,0.0,50.0,0.0,0.0,0.374539497255633,-0.2655501528111886,-1.2817445659633149,-0.2216926388888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003452223488,-0.01726111744,0.1015808,5
2024-01-08,0.0712759166666666,0.0611172103621146,12,-0.008432,0.14862,0.0470619166666666,0.564743,0.1739769166666666,0.0845301033687873,7,12,neutral,0.1052609166666666,0.127439609135174,0.0033543812505069,0.0526381203703703,0.1396461979205303,8.666666666666666,0.1003615722222222,0.0177366666666666,0.0572915462962962,0.1435382121576069,6.833333333333333,0.1429500962962963,0.0,0.0572915462962962,0.1435382121576069,6.833333333333333,0.1429500962962963,0.0,0.0572915462962962,0.1435382121576069,6.833333333333333,0.1429500962962963,0.0,50.0,0.0,0.0,0.3443679706115102,-0.2297848780189176,-3.097275758913246,0.2598693611111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033543812505069,0.0402525750060833,0.0470619166666666,7
2024-01-09,0.2275033749999999,0.2651027940079834,8,-0.018016,0.650218,0.225524375,1.804195,0.18354625,0.1590826399918788,4,8,bullish,0.1562274583333333,0.1452533717043669,0.0513075564572656,0.0882647638888888,0.1733852934722651,8.333333333333334,0.1247223638888889,0.1068799305555555,0.0816075218253968,0.160904580993375,7.0,0.1547464218253968,0.0,0.0816075218253968,0.160904580993375,7.0,0.1547464218253968,0.0,0.0816075218253968,0.160904580993375,7.0,0.1547464218253968,0.0,50.0,0.0,0.0,0.4034166838121469,-0.2402016401613532,2.191868805615735,0.0509665416666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0513075564572656,0.4104604516581249,0.225524375,4
2024-01-10,0.2868395,0.4017363537701063,2,0.002769,0.57091,0.2225825,0.445165,0.2312455,0.1759274600524318,2,2,bullish,0.059336125,0.2171555483079361,0.06384545300875,0.1952062638888888,0.242652119380068,7.333333333333333,0.1650562638888889,0.3208245,0.1081763075396825,0.18629102763628,7.0,0.1490246361111111,0.1859815,0.1072615190972222,0.1910085525904664,6.375,0.1632259315972222,0.0,0.1072615190972222,0.1910085525904664,6.375,0.1632259315972222,0.0,50.0,0.0,0.0,0.4892786242781551,-0.2747555860837106,0.2608142626455543,-0.0968913333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06384545300875,0.1276909060175,0.2225825,2
2024-01-11,-0.02449,0.0,1,-0.02449,-0.02449,0.229149,0.229149,0.256221,0.0,1,1,neutral,-0.3113295,0.2304730585467254,-0.00561185901,0.1632842916666666,0.3334195738890448,3.6666666666666665,0.2257519583333333,-0.0957659166666666,0.1001866408730158,0.1880005353819902,5.857142857142857,0.1597436202380952,-0.0559276666666666,0.0926224614197531,0.1910085525904664,5.777777777777778,0.1705507169753086,0.0,0.0926224614197531,0.1910085525904664,5.777777777777778,0.1705507169753086,0.0,50.0,0.0,0.0,0.474639566600686,-0.2893946437611798,-1.0853787571098124,-0.3706656250000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00561185901,-0.00561185901,0.229149,1
2024-01-12,0.0609143333333333,0.112546685025963,3,-0.008046,0.190789,0.094735,0.284205,0.1731073333333333,0.074628869777944,2,3,neutral,0.0854043333333333,0.2101257607915418,0.0057707193683333,0.1077546111111111,0.2571415193980346,2.0,0.1821555,-0.1665890416666666,0.1012402242063492,0.1997207377609406,5.714285714285714,0.1532965130952381,0.0073750833333333,0.0894516486111111,0.1822905673055216,5.5,0.1629691452777777,0.0,0.0894516486111111,0.1822905673055216,5.5,0.1629691452777777,0.0,50.0,0.0,0.0,0.4540327832221543,-0.2751294859999321,-3.487314550156526,0.3967338333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057707193683333,0.017312158105,0.094735,2
